Title,Price,URL
iPhone 17 APPLE (6.3'' - 256 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-17-apple-6-3-256-gb-branco-8600279
iPhone 16 APPLE (6.1'' - 128 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-16-apple-6-1-128-gb-branco-8155749
iPhone 17 APPLE (6.3'' - 512 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-17-apple-6-3-512-gb-branco-8600334
iPhone 14 APPLE (6.1'' - 256 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-14-apple-6-1-256-gb-branco-mrkean-0194253410232
"Patrocinado
Iphone 16 Apple (recondicionado Sinais De Uso 128 Go Branco)","€989,99",https://www.worten.pt/produtos/iphone-16-apple-recondicionado-sinais-de-uso-128-go-branco-mrkean-3663705124135
"Patrocinado
iPhone 11 APPLE (Recondicionado Marcas Mínimas - 64 GB - Branco)","€989,99",https://www.worten.pt/produtos/iphone-11-apple-recondicionado-marcas-minimas-64-gb-branco-mrkean-3663705028990
"Patrocinado
iPhone 11 APPLE (Recondicionado Marcas Mínimas - 64 GB - Vermelho)","€989,99",https://www.worten.pt/produtos/iphone-11-apple-recondicionado-marcas-minimas-64-gb-vermelho-mrkean-3663705029027
"Patrocinado
iPhone 8 APPLE (Recondicionado Marcas Mínimas - 64 GB - Cinzento sideral)","€989,99",https://www.worten.pt/produtos/iphone-8-apple-recondicionado-marcas-minimas-64-gb-cinzento-sideral-mrkean-3663705016713
Cabo de Carregamento APPLE 60W Usb-C (1 M - Branco),"€989,99",https://www.worten.pt/produtos/cabo-de-carregamento-apple-60w-usb-c-1-m-branco-8152721
Iphone 16 128gb Branco Apple,"€989,99",https://www.worten.pt/produtos/iphone-16-128gb-branco-apple-mrkean-0195949822148
iPhone 14 APPLE (Recondicionado Como Novo - 128 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-14-apple-recondicionado-como-novo-128-gb-branco-mrkean-3663705088239
iPhone 17e APPLE (6.1'' - 256 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-17e-apple-6-1-256-gb-branco-8782295
iPhone 14 APPLE (6.1'' - 128 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-14-apple-6-1-128-gb-branco-mrkean-0194253408581
iPhone Air APPLE (6.5'' - 256 GB - Branco-nuvem),"€989,99",https://www.worten.pt/produtos/iphone-air-apple-6-5-256-gb-branco-nuvem-8600374
Auriculares APPLE Earpods (USB-C - Microfone - Branco),"€989,99",https://www.worten.pt/produtos/auriculares-apple-earpods-usb-c-microfone-branco-8157680
iPhone 14 APPLE (Recondicionado Flippers Marcas Mínimas - 6.1'' - 128 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-14-apple-recondicionado-flippers-marcas-minimas-6-1-128-gb-branco-7729246
"Patrocinado
Iphone 15 APPLE 128 Go Negro (Recondicionado Marcas Mínimas)","€989,99",https://www.worten.pt/produtos/iphone-15-apple-128-go-negro-recondicionado-marcas-minimas-mrkean-3663705103529
Iphone 16 Apple (recondicionado Sinais De Uso 128 Go Branco),"€989,99",https://www.worten.pt/produtos/iphone-16-apple-recondicionado-sinais-de-uso-128-go-branco-mrkean-3663705124135
iPhone 13 APPLE (Recondicionado Sinais de Uso - 128 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-13-apple-recondicionado-sinais-de-uso-128-gb-branco-mrkean-3663705062833
Bateria iPhone Air MagSafe (20W - MagSafe/Usb-C - Branco),"€989,99",https://www.worten.pt/produtos/bateria-iphone-air-magsafe-20w-magsafe-usb-c-branco-8600682
iPhone 16e APPLE (6.1'' - 128 GB - Branco),"€989,99",https://www.worten.pt/produtos/iphone-16e-apple-6-1-128-gb-branco-8377218
iPhone 15 Pro APPLE (Recondicionado - Como novo - 256 Go - Branco),"€989,99",https://www.worten.pt/produtos/iphone-15-pro-apple-recondicionado-como-novo-256-go-branco-mrkean-3663705105059
